"標準地域コード","都道府県","政令市･郡･支庁･振興局等","政令市･郡･支庁･振興局等（ふりがな）","市区町村","市区町村（ふりがな）","廃置分合等施行年月日","改正事由"
"01100","北海道","札幌市","さっぽろし","","","1972-04-01","札幌市(01201)の札幌市(01100)への政令指定都市施行
中央区(01101)、北区(01102)、東区(01103)、白石区(01104)、豊平区(01105)、南区(01106)、西区(01107)の新設"
"01101","北海道","札幌市","さっぽろし","中央区","ちゅうおうく","1972-04-01","札幌市(01201)の札幌市(01100)への政令指定都市施行
中央区(01101)、北区(01102)、東区(01103)、白石区(01104)、豊平区(01105)、南区(01106)、西区(01107)の新設"
"01102","北海道","札幌市","さっぽろし","北区","きたく","1972-04-01","札幌市(01201)の札幌市(01100)への政令指定都市施行
中央区(01101)、北区(01102)、東区(01103)、白石区(01104)、豊平区(01105)、南区(01106)、西区(01107)の新設"
"01103","北海道","札幌市","さっぽろし","東区","ひがしく","1972-04-01","札幌市(01201)の札幌市(01100)への政令指定都市施行
中央区(01101)、北区(01102)、東区(01103)、白石区(01104)、豊平区(01105)、南区(01106)、西区(01107)の新設"
"01104","北海道","札幌市","さっぽろし","白石区","しろいしく","1972-04-01","札幌市(01201)の札幌市(01100)への政令指定都市施行
中央区(01101)、北区(01102)、東区(01103)、白石区(01104)、豊平区(01105)、南区(01106)、西区(01107)の新設"
"01104","北海道","札幌市","さっぽろし","白石区","しろいしく","1989-11-06","白石区(01104)から分離し、厚別区(01108)を新設"
"01105","北海道","札幌市","さっぽろし","豊平区","とよひらく","1972-04-01","札幌市(01201)の札幌市(01100)への政令指定都市施行
中央区(01101)、北区(01102)、東区(01103)、白石区(01104)、豊平区(01105)、南区(01106)、西区(01107)の新設"
"01105","北海道","札幌市","さっぽろし","豊平区","とよひらく","1997-11-04","豊平区(01105)から分離し、清田区(01110)を新設"
"01106","北海道","札幌市","さっぽろし","南区","みなみく","1972-04-01","札幌市(01201)の札幌市(01100)への政令指定都市施行
中央区(01101)、北区(01102)、東区(01103)、白石区(01104)、豊平区(01105)、南区(01106)、西区(01107)の新設"
"01107","北海道","札幌市","さっぽろし","西区","にしく","1972-04-01","札幌市(01201)の札幌市(01100)への政令指定都市施行
中央区(01101)、北区(01102)、東区(01103)、白石区(01104)、豊平区(01105)、南区(01106)、西区(01107)の新設"
"01107","北海道","札幌市","さっぽろし","西区","にしく","1989-11-06","西区(01107)から分離し、手稲区(01109)を新設"
"01108","北海道","札幌市","さっぽろし","厚別区","あつべつく","1989-11-06","白石区(01104)から分離し、厚別区(01108)を新設"
"01109","北海道","札幌市","さっぽろし","手稲区","ていねく","1989-11-06","西区(01107)から分離し、手稲区(01109)を新設"
"01110","北海道","札幌市","さっぽろし","清田区","きよたく","1997-11-04","豊平区(01105)から分離し、清田区(01110)を新設"
"01201","北海道","","","札幌市","さっぽろし","1972-04-01","札幌市(01201)の札幌市(01100)への政令指定都市施行
中央区(01101)、北区(01102)、東区(01103)、白石区(01104)、豊平区(01105)、南区(01106)、西区(01107)の新設"
"01202","北海道","","","函館市","はこだてし","1973-12-01","亀田市(01232)が函館市(01202)に編入"
"01202","北海道","","","函館市","はこだてし","2000-11-01","函館市(01202)が特例市に移行"
"01202","北海道","","","函館市","はこだてし","2004-12-01","戸井町(01339)、恵山町(01340)、椴法華村(01341)、南茅部町(01342)が函館市(01202)に編入"
"01202","北海道","","","函館市","はこだてし","2005-10-01","函館市(01202)が特例市から中核市に移行"
"01204","北海道","","","旭川市","あさひかわし","1971-03-02","東鷹栖町(01451)が旭川市(01204)に編入"
"01204","北海道","","","旭川市","あさひかわし","2000-04-01","旭川市(01204)が中核市に移行"
"01206","北海道","","","釧路市","くしろし","2005-10-11","釧路市(01206)、阿寒町(01666)、音別町(01669)が合併し、釧路市を新設"
"01208","北海道","","","北見市","きたみし","2006-03-05","北見市(01208)、端野町(01548)、留辺蘂町(01551)、常呂町(01553)が合併し、北見市を新設"
"01210","北海道","","","岩見沢市","いわみざわし","2006-03-27","北村(01421)、栗沢町(01422)が岩見沢市(01210)に編入"
"01220","北海道","","","士別市","しべつし","2005-09-01","士別市(01220)、朝日町(01466)が合併し、士別市を新設"
"01221","北海道","","","名寄市","なよろし","2006-03-27","名寄市(01221)、風連町(01467)が合併し、名寄市を新設"
"01225","北海道","","","滝川市","たきかわし","1971-04-01","滝川市(01225)、江部乙町(01426)が合併し、滝川市を新設"
"01230","北海道","","","登別市","のぼりべつし","1970-08-01","登別町(01577)が登別市(01230)に市制施行"
"01231","北海道","","","恵庭市","えにわし","1970-11-01","恵庭町(01307)が恵庭市(01231)に市制施行"
"01232","北海道","","","亀田市","かめだし","1971-11-01","亀田町(01338)が亀田市(01232)に市制施行"
"01232","北海道","","","亀田市","かめだし","1973-12-01","亀田市(01232)が函館市(01202)に編入"
"01233","北海道","","","伊達市","だてし","1972-04-01","伊達町(01576)が伊達市(01233)に市制施行"
"01233","北海道","","","伊達市","だてし","2006-03-01","大滝村(01574)が伊達市(01233)に編入"
"01234","北海道","","","北広島市","きたひろしまし","1996-09-01","広島町(01301)が広島市に市制施行し、北広島市(01234)に名称変更"
"01235","北海道","","","石狩市","いしかりし","1996-09-01","石狩町(01302)が石狩市(01235)に市制施行"
"01235","北海道","","","石狩市","いしかりし","2005-10-01","厚田村(01305)、浜益村(01306)が石狩市(01235)に編入"
"01236","北海道","","","北斗市","ほくとし","2006-02-01","上磯町(01335)、大野町(01336)が合併し、北斗市(01236)を新設"
"01301","北海道","石狩支庁","いしかりしちょう","広島町","ひろしまちょう","1996-09-01","広島町(01301)が広島市に市制施行し、北広島市(01234)に名称変更"
"01302","北海道","石狩支庁","いしかりしちょう","石狩町","いしかりちょう","1996-09-01","石狩町(01302)が石狩市(01235)に市制施行"
"01305","北海道","石狩支庁","いしかりしちょう","厚田村","あつたむら","2005-10-01","厚田村(01305)、浜益村(01306)が石狩市(01235)に編入"
"01306","北海道","石狩支庁","いしかりしちょう","浜益村","はまますむら","2005-10-01","厚田村(01305)、浜益村(01306)が石狩市(01235)に編入"
"01307","北海道","石狩支庁","いしかりしちょう","恵庭町","えにわちょう","1970-11-01","恵庭町(01307)が恵庭市(01231)に市制施行"
"01335","北海道","渡島支庁","おしましちょう","上磯町","かみいそちょう","2006-02-01","上磯町(01335)、大野町(01336)が合併し、北斗市(01236)を新設"
"01336","北海道","渡島支庁","おしましちょう","大野町","おおのちょう","2006-02-01","上磯町(01335)、大野町(01336)が合併し、北斗市(01236)を新設"
"01338","北海道","渡島支庁","おしましちょう","亀田町","かめだちょう","1971-11-01","亀田町(01338)が亀田市(01232)に市制施行"
"01339","北海道","渡島支庁","おしましちょう","戸井町","といちょう","2004-12-01","戸井町(01339)、恵山町(01340)、椴法華村(01341)、南茅部町(01342)が函館市(01202)に編入"
"01340","北海道","渡島支庁","おしましちょう","恵山町","えさんちょう","1985-04-01","尻岸内町(01340)が恵山町(01340)に名称変更"
"01340","北海道","渡島支庁","おしましちょう","尻岸内町","しりきしないちょう","1985-04-01","尻岸内町(01340)が恵山町(01340)に名称変更"
"01340","北海道","渡島支庁","おしましちょう","恵山町","えさんちょう","2004-12-01","戸井町(01339)、恵山町(01340)、椴法華村(01341)、南茅部町(01342)が函館市(01202)に編入"
"01341","北海道","渡島支庁","おしましちょう","椴法華村","とどほっけむら","2004-12-01","戸井町(01339)、恵山町(01340)、椴法華村(01341)、南茅部町(01342)が函館市(01202)に編入"
"01342","北海道","渡島支庁","おしましちょう","南茅部町","みなみかやべちょう","2004-12-01","戸井町(01339)、恵山町(01340)、椴法華村(01341)、南茅部町(01342)が函館市(01202)に編入"
"01343","北海道","渡島支庁","おしましちょう","鹿部町","しかべちょう","1983-12-01","鹿部村(01343)が鹿部町(01343)に町制施行"
"01343","北海道","渡島支庁","おしましちょう","鹿部村","しかべむら","1983-12-01","鹿部村(01343)が鹿部町(01343)に町制施行"
"01344","北海道","渡島支庁","おしましちょう","砂原町","さわらちょう","1970-09-01","砂原村(01344)が砂原町(01344)に町制施行"
"01344","北海道","渡島支庁","おしましちょう","砂原村","さわらむら","1970-09-01","砂原村(01344)が砂原町(01344)に町制施行"
"01344","北海道","渡島支庁","おしましちょう","砂原町","さわらちょう","2005-04-01","砂原町(01344)、森町(01345)が合併し、森町を新設"
"01345","北海道","渡島支庁","おしましちょう","森町","もりまち","2005-04-01","砂原町(01344)、森町(01345)が合併し、森町を新設"
"01346","北海道","渡島支庁","おしましちょう","八雲町","やくもちょう","2005-10-01","八雲町(01346)、熊石町(01365)が合併し、八雲町を新設"
"01365","北海道","檜山支庁","ひやましちょう","熊石町","くまいしちょう","2005-10-01","八雲町(01346)、熊石町(01365)が合併し、八雲町を新設"
"01366","北海道","檜山支庁","ひやましちょう","大成町","たいせいちょう","2005-09-01","大成町(01366)、瀬棚町(01368)、北檜山町(01369)が合併し、せたな町(01371)を新設"
"01368","北海道","檜山支庁","ひやましちょう","瀬棚町","せたなちょう","2005-09-01","大成町(01366)、瀬棚町(01368)、北檜山町(01369)が合併し、せたな町(01371)を新設"
"01369","北海道","檜山支庁","ひやましちょう","北檜山町","きたひやまちょう","2005-09-01","大成町(01366)、瀬棚町(01368)、北檜山町(01369)が合併し、せたな町(01371)を新設"
"01371","北海道","檜山支庁","ひやましちょう","せたな町","せたなちょう","2005-09-01","大成町(01366)、瀬棚町(01368)、北檜山町(01369)が合併し、せたな町(01371)を新設"
"01401","北海道","後志支庁","しりべししちょう","共和町","きょうわちょう","1971-04-01","共和村(01401)が共和町(01401)に町制施行"
"01401","北海道","後志支庁","しりべししちょう","共和村","きょうわむら","1971-04-01","共和村(01401)が共和町(01401)に町制施行"
"01421","北海道","空知支庁","そらちしちょう","北村","きたむら","2006-03-27","北村(01421)、栗沢町(01422)が岩見沢市(01210)に編入"
"01422","北海道","空知支庁","そらちしちょう","栗沢町","くりさわちょう","2006-03-27","北村(01421)、栗沢町(01422)が岩見沢市(01210)に編入"
"01426","北海道","空知支庁","そらちしちょう","江部乙町","えべおつちょう","1971-04-01","滝川市(01225)、江部乙町(01426)が合併し、滝川市を新設"
"01439","北海道","空知支庁","そらちしちょう","幌加内町","ほろかないちょう","2010-04-01","空知支庁幌加内町(01439)が上川支庁幌加内町(01472)に区域変更"
"01451","北海道","上川支庁","かみかわしちょう","東鷹栖町","ひがしたかすちょう","1971-03-02","東鷹栖町(01451)が旭川市(01204)に編入"
"01466","北海道","上川支庁","かみかわしちょう","朝日町","あさひちょう","2005-09-01","士別市(01220)、朝日町(01466)が合併し、士別市を新設"
"01467","北海道","上川支庁","かみかわしちょう","風連町","ふうれんちょう","2006-03-27","名寄市(01221)、風連町(01467)が合併し、名寄市を新設"
"01472","北海道","上川支庁","かみかわしちょう","幌加内町","ほろかないちょう","2010-04-01","空知支庁幌加内町(01439)が上川支庁幌加内町(01472)に区域変更"
"01488","北海道","留萌支庁","るもいしちょう","幌延町","ほろのべちょう","2010-04-01","留萌支庁幌延町(01488)が宗谷支庁幌延町(01520)に区域変更"
"01514","北海道","宗谷支庁","そうやしちょう","枝幸町","えさしちょう","2006-03-20","枝幸町(01514)、歌登町(01515)が合併し、枝幸町を新設"
"01515","北海道","宗谷支庁","そうやしちょう","歌登町","うたのぼりちょう","2006-03-20","枝幸町(01514)、歌登町(01515)が合併し、枝幸町を新設"
"01519","北海道","宗谷支庁","そうやしちょう","東利尻町","ひがしりしりちょう","1990-09-30","東利尻町(01519)が利尻富士町(01519)に名称変更"
"01519","北海道","宗谷支庁","そうやしちょう","利尻富士町","りしりふじちょう","1990-09-30","東利尻町(01519)が利尻富士町(01519)に名称変更"
"01520","北海道","宗谷支庁","そうやしちょう","幌延町","ほろのべちょう","2010-04-01","留萌支庁幌延町(01488)が宗谷支庁幌延町(01520)に区域変更"
"01541","北海道","網走支庁","あばしりしちょう","東藻琴村","ひがしもことむら","2006-03-31","東藻琴村(01541)、女満別町(01542)が合併し、大空町(01564)を新設"
"01542","北海道","網走支庁","あばしりしちょう","女満別町","めまんべつちょう","2006-03-31","東藻琴村(01541)、女満別町(01542)が合併し、大空町(01564)を新設"
"01548","北海道","網走支庁","あばしりしちょう","端野町","たんのちょう","2006-03-05","北見市(01208)、端野町(01548)、留辺蘂町(01551)、常呂町(01553)が合併し、北見市を新設"
"01551","北海道","網走支庁","あばしりしちょう","留辺蘂町","るべしべちょう","2006-03-05","北見市(01208)、端野町(01548)、留辺蘂町(01551)、常呂町(01553)が合併し、北見市を新設"
"01553","北海道","網走支庁","あばしりしちょう","常呂町","ところちょう","2006-03-05","北見市(01208)、端野町(01548)、留辺蘂町(01551)、常呂町(01553)が合併し、北見市を新設"
"01554","北海道","網走支庁","あばしりしちょう","生田原町","いくたはらちょう","2005-10-01","生田原町(01554)、遠軽町(01555)、丸瀬布町(01556)、白滝村(01557)が合併し、遠軽町を新設"
